Date;Hour;DK1 Down Price;DK1 Down Volume procured;DK1 Up Price;DK1 Up Volume procured;DK2 Down Price;DK2 Down Volume procured;DK2 Up Price;DK2 Up Volume procured;FI Down Price;FI Down Volume procured;FI Up Price;FI Up Volume procured;NO1 Down Price;NO1 Down Volume procured;NO1 Up Price;NO1 Up Volume procured;NO2 Down Price;NO2 Down Volume procured;NO2 Up Price;NO2 Up Volume procured;NO3 Down Price;NO3 Down Volume procured;NO3 Up Price;NO3 Up Volume procured;NO4 Down Price;NO4 Down Volume procured;NO4 Up Price;NO4 Up Volume procured;NO5 Down Price;NO5 Down Volume procured;NO5 Up Price;NO5 Up Volume procured;SE1 Down Price;SE1 Down Volume procured;SE1 Up Price;SE1 Up Volume procured;SE2 Down Price;SE2 Down Volume procured;SE2 Up Price;SE2 Up Volume procured;SE3 Down Price;SE3 Down Volume procured;SE3 Up Price;SE3 Up Volume procured;SE4 Down Price;SE4 Down Volume procured;SE4 Up Price;SE4 Up Volume procured
01.10.2024;00:00;0.0;0.0;0.67;359.0;0.0;0.0;6.84;185.0;;;;;10.0;299.0;3.5;45.0;4.0;148.0;3.5;342.0;2.0;90.0;3.0;140.0;6.0;110.0;3.0;60.0;1.99;10.0;2.0;263.0;19.7;183.0;4.0;84.0;16.0;375.0;4.0;247.0;16.0;122.0;4.0;286.0;16.0;20.0;4.0;3.0
01.10.2024;01:00;0.0;0.0;0.67;359.0;0.0;0.0;6.84;185.0;;;;;10.0;299.0;2.0;20.0;7.0;243.0;2.0;50.0;2.0;90.0;3.0;140.0;6.0;110.0;3.0;60.0;2.0;10.0;2.0;230.0;20.3;183.0;4.0;84.0;16.0;375.0;4.0;247.0;16.0;122.0;4.0;286.0;16.0;20.0;4.0;3.0
01.10.2024;02:00;0.0;0.0;0.67;359.0;0.0;0.0;6.84;185.0;;;;;10.0;299.0;2.0;20.0;8.0;333.0;2.0;50.0;2.0;90.0;2.99;140.0;6.0;110.0;2.99;60.0;2.0;18.0;2.0;230.0;20.8;183.0;4.0;84.0;16.0;375.0;4.0;247.0;16.0;122.0;4.0;286.0;16.0;20.0;4.0;3.0
01.10.2024;03:00;0.0;0.0;0.67;359.0;0.0;0.0;6.84;185.0;;;;;10.0;299.0;2.0;20.0;7.0;333.0;2.0;50.0;2.0;90.0;2.99;140.0;6.0;110.0;2.99;60.0;2.0;18.0;2.0;230.0;20.3;183.0;3.5;74.0;16.0;375.0;3.5;247.0;16.0;122.0;3.5;291.0;16.0;20.0;3.5;3.0
01.10.2024;04:00;0.0;0.0;0.67;359.0;0.0;0.0;6.84;185.0;;;;;10.0;299.0;2.0;20.0;7.0;283.0;2.0;50.0;0.0;0.0;3.0;140.0;0.0;0.0;3.0;60.0;2.0;18.0;2.0;230.0;20.1;183.0;3.5;74.0;16.0;375.0;3.5;247.0;16.0;122.0;3.5;291.0;16.0;20.0;3.5;3.0
01.10.2024;05:00;0.0;0.0;1.48;359.0;0.0;0.0;6.84;185.0;;;;;10.0;299.0;3.5;45.0;5.5;224.0;3.5;489.0;0.0;0.0;3.0;190.0;0.0;0.0;3.0;60.0;2.0;27.0;2.0;266.0;16.0;217.0;3.5;74.0;16.0;361.0;3.5;247.0;16.0;122.0;3.5;291.0;16.0;0.0;3.5;3.0
01.10.2024;06:00;0.0;0.0;1.48;359.0;0.0;0.0;6.84;185.0;;;;;10.0;269.0;7.0;75.0;3.0;111.0;7.0;1127.0;0.0;0.0;4.0;400.0;0.0;0.0;4.0;0.0;2.0;20.0;4.0;648.0;21.0;287.0;2.67;74.0;7.11;261.0;2.67;199.0;7.11;117.0;4.0;344.0;7.11;35.0;4.0;3.0
01.10.2024;07:00;0.0;0.0;1.48;359.0;0.0;0.0;6.84;185.0;;;;;4.0;195.0;10.0;55.0;4.0;55.0;10.0;1460.0;0.0;0.0;5.0;400.0;0.0;0.0;3.0;100.0;0.0;0.0;10.0;835.0;16.0;255.0;2.67;74.0;8.0;293.0;2.67;199.0;8.0;117.0;4.0;344.0;8.0;35.0;4.0;3.0
01.10.2024;08:00;0.0;0.0;1.34;359.0;0.0;0.0;6.84;185.0;;;;;2.0;250.0;11.0;55.0;2.0;0.0;11.0;1519.0;0.0;0.0;5.0;350.0;0.0;0.0;4.0;100.0;2.0;0.0;10.0;776.0;16.0;249.0;2.67;74.0;7.11;299.0;2.67;199.0;7.11;117.0;4.0;344.0;7.11;35.0;4.0;3.0
01.10.2024;09:00;0.0;0.0;1.34;359.0;0.0;0.0;6.84;185.0;;;;;2.0;250.0;9.0;55.0;2.0;0.0;9.0;1357.0;0.0;0.0;5.0;350.0;0.0;0.0;4.0;100.0;2.0;0.0;8.0;788.0;12.0;215.0;2.0;74.0;8.0;318.0;2.0;204.0;8.0;117.0;4.0;344.0;8.0;50.0;4.0;3.0
