ISP (CET/CEST),Area,Reserve Type,Source,Type of Product,Price Type,Price Up (EUR/MWh),Price Down (EUR/MWh)
31/12/2023 23:00:00 - 01/01/2024 00:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,59.31,59.31
01/01/2024 00:00:00 - 01/01/2024 01:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,55.0,53.79
01/01/2024 01:00:00 - 01/01/2024 02:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,53.87,48.98
01/01/2024 02:00:00 - 01/01/2024 03:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,53.87,27.45
01/01/2024 03:00:00 - 01/01/2024 04:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,24.48,24.48
01/01/2024 04:00:00 - 01/01/2024 05:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,36.0,24.01
01/01/2024 05:00:00 - 01/01/2024 06:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,36.0,21.23
01/01/2024 06:00:00 - 01/01/2024 07:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,40.11,22.62
01/01/2024 07:00:00 - 01/01/2024 08:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,44.0,25.04
01/01/2024 08:00:00 - 01/01/2024 09:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,44.0,26.24
01/01/2024 09:00:00 - 01/01/2024 10:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,44.0,32.21
01/01/2024 10:00:00 - 01/01/2024 11:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,48.0,47.71
01/01/2024 11:00:00 - 01/01/2024 12:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,52.51,52.51
01/01/2024 12:00:00 - 01/01/2024 13:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,60.0,56.57
01/01/2024 13:00:00 - 01/01/2024 14:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,60.0,59.82
01/01/2024 14:00:00 - 01/01/2024 15:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,71.0,62.06
