AREA,'ISP','Reserve Type','Type of Product','Direction','Offered','Activated','Unavailable'
NO1 SCA,'12.09.2023 00:00 - 12.09.2023 00:15 (CET/CEST)','mFRR','Local','Up','465','0',''
NO1 SCA,'12.09.2023 00:00 - 12.09.2023 00:15 (CET/CEST)','mFRR','Local','Down','30','0',''
NO1 SCA,'12.09.2023 00:15 - 12.09.2023 00:30 (CET/CEST)','mFRR','Local','Up','465','0',''
NO1 SCA,'12.09.2023 00:15 - 12.09.2023 00:30 (CET/CEST)','mFRR','Local','Down','30','0',''
NO1 SCA,'12.09.2023 00:30 - 12.09.2023 00:45 (CET/CEST)','mFRR','Local','Up','465','0',''
NO1 SCA,'12.09.2023 00:30 - 12.09.2023 00:45 (CET/CEST)','mFRR','Local','Down','30','0',''
NO1 SCA,'12.09.2023 00:45 - 12.09.2023 01:00 (CET/CEST)','mFRR','Local','Up','465','0',''
NO1 SCA,'12.09.2023 00:45 - 12.09.2023 01:00 (CET/CEST)','mFRR','Local','Down','30','0',''
NO1 SCA,'12.09.2023 01:00 - 12.09.2023 01:15 (CET/CEST)','mFRR','Local','Up','470','0',''
NO1 SCA,'12.09.2023 01:00 - 12.09.2023 01:15 (CET/CEST)','mFRR','Local','Down','41','0',''
NO1 SCA,'12.09.2023 01:15 - 12.09.2023 01:30 (CET/CEST)','mFRR','Local','Up','470','0',''
NO1 SCA,'12.09.2023 01:15 - 12.09.2023 01:30 (CET/CEST)','mFRR','Local','Down','41','0',''
NO1 SCA,'12.09.2023 01:30 - 12.09.2023 01:45 (CET/CEST)','mFRR','Local','Up','470','0',''
NO1 SCA,'12.09.2023 01:30 - 12.09.2023 01:45 (CET/CEST)','mFRR','Local','Down','41','0',''
NO1 SCA,'12.09.2023 01:45 - 12.09.2023 02:00 (CET/CEST)','mFRR','Local','Up','470','0',''
NO1 SCA,'12.09.2023 01:45 - 12.09.2023 02:00 (CET/CEST)','mFRR','Local','Down','41','0',''
NO1 SCA,'12.09.2023 02:00 - 12.09.2023 02:15 (CET/CEST)','mFRR','Local','Up','459','0',''
NO1 SCA,'12.09.2023 02:00 - 12.09.2023 02:15 (CET/CEST)','mFRR','Local','Down','41','0',''
