Time Interval,Reserve Type,Type of Product,Source,Up price,Down Price,Currency,Price type
01.01.2024 00:00 - 01.01.2024 01:00 (CET/CEST),mFRR,Not Specified,Not specified,0.0,0.0,EUR,MARGINAL
01.01.2024 01:00 - 01.01.2024 02:00 (CET/CEST),mFRR,Not Specified,Not specified,53.87,48.98,EUR,MARGINAL
01.01.2024 02:00 - 01.01.2024 03:00 (CET/CEST),mFRR,Not Specified,Not specified,53.87,27.45,EUR,MARGINAL
01.01.2024 03:00 - 01.01.2024 04:00 (CET/CEST),mFRR,Not Specified,Not specified,24.48,24.48,EUR,MARGINAL
01.01.2024 04:00 - 01.01.2024 05:00 (CET/CEST),mFRR,Not Specified,Not specified,36.0,24.01,EUR,MARGINAL
01.01.2024 05:00 - 01.01.2024 06:00 (CET/CEST),mFRR,Not Specified,Not specified,36.0,21.23,EUR,MARGINAL
01.01.2024 06:00 - 01.01.2024 07:00 (CET/CEST),mFRR,Not Specified,Not specified,40.11,22.62,EUR,MARGINAL
01.01.2024 07:00 - 01.01.2024 08:00 (CET/CEST),mFRR,Not Specified,Not specified,44.0,25.04,EUR,MARGINAL
01.01.2024 08:00 - 01.01.2024 09:00 (CET/CEST),mFRR,Not Specified,Not specified,44.0,26.24,EUR,MARGINAL
01.01.2024 09:00 - 01.01.2024 10:00 (CET/CEST),mFRR,Not Specified,Not specified,44.0,32.21,EUR,MARGINAL
01.01.2024 10:00 - 01.01.2024 11:00 (CET/CEST),mFRR,Not Specified,Not specified,48.0,47.71,EUR,MARGINAL
01.01.2024 11:00 - 01.01.2024 12:00 (CET/CEST),mFRR,Not Specified,Not specified,52.51,52.51,EUR,MARGINAL
01.01.2024 12:00 - 01.01.2024 13:00 (CET/CEST),mFRR,Not Specified,Not specified,60.0,56.57,EUR,MARGINAL
01.01.2024 13:00 - 01.01.2024 14:00 (CET/CEST),mFRR,Not Specified,Not specified,60.0,59.82,EUR,MARGINAL
01.01.2024 14:00 - 01.01.2024 15:00 (CET/CEST),mFRR,Not Specified,Not specified,71.0,62.06,EUR,MARGINAL
01.01.2024 15:00 - 01.01.2024 16:00 (CET/CEST),mFRR,Not Specified,Not specified,71.0,62.52,EUR,MARGINAL
