Delivery Start (CET);Delivery End (CET);DK1 Accepted Down Volume (MW);DK1 Accepted Up Volume (MW);DK1 Activated Down Volume (MW);DK1 Activated Up Volume (MW);DK1 Down Price (EUR);DK1 Imbalance Price (EUR);DK1 Up Price (EUR);DK2 Accepted Down Volume (MW);DK2 Accepted Up Volume (MW);DK2 Activated Down Volume (MW);DK2 Activated Up Volume (MW);DK2 Down Price (EUR);DK2 Imbalance Price (EUR);DK2 Up Price (EUR);FI Accepted Down Volume (MW);FI Accepted Up Volume (MW);FI Activated Down Volume (MW);FI Activated Up Volume (MW);FI Down Price (EUR);FI Imbalance Price (EUR);FI Up Price (EUR);SE1 Accepted Down Volume (MW);SE1 Accepted Up Volume (MW);SE1 Activated Down Volume (MW);SE1 Activated Up Volume (MW);SE1 Down Price (EUR);SE1 Imbalance Price (EUR);SE1 Up Price (EUR);SE2 Accepted Down Volume (MW);SE2 Accepted Up Volume (MW);SE2 Activated Down Volume (MW);SE2 Activated Up Volume (MW);SE2 Down Price (EUR);SE2 Imbalance Price (EUR);SE2 Up Price (EUR);SE3 Accepted Down Volume (MW);SE3 Accepted Up Volume (MW);SE3 Activated Down Volume (MW);SE3 Activated Up Volume (MW);SE3 Down Price (EUR);SE3 Imbalance Price (EUR);SE3 Up Price (EUR);SE4 Accepted Down Volume (MW);SE4 Accepted Up Volume (MW);SE4 Activated Down Volume (MW);SE4 Activated Up Volume (MW);SE4 Down Price (EUR);SE4 Imbalance Price (EUR);SE4 Up Price (EUR)
01.01.2025 00:00:00;01.01.2025 01:00:00;1950;874;37;0;2;2;2.16;706;744;13;0;2;2;2.54;;;;;;;;724;1728;10;0;2;2;4.88;1061;837;5;0;2;2;4.55;218;495;0;0;2;2;3.16;99;8;0;0;2;2;2.67
01.01.2025 00:00:00;01.01.2025 00:15:00;;;;;;;;;;;;;;;767;2087;2;0;2;-15;4.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2025 00:15:00;01.01.2025 00:30:00;;;;;;;;;;;;;;;767;2087;2;0;2;-15;4.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2025 00:30:00;01.01.2025 00:45:00;;;;;;;;;;;;;;;767;2087;2;0;2;-15;4.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2025 00:45:00;01.01.2025 01:00:00;;;;;;;;;;;;;;;767;2087;2;0;2;-15;4.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2025 01:00:00;01.01.2025 02:00:00;1829;883;0;0;1.6;1.6;1.6;355;744;0;0;1.93;1.93;1.93;;;;;;;;339;1654;10;0;2;2;3.97;1001;896;5;0;2;2;3.69;218;495;0;0;2;2;2.47;99;8;0;0;2;2;2.04
01.01.2025 01:00:00;01.01.2025 01:15:00;;;;;;;;;;;;;;;773;2040;42;0;2;-13.24;3.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2025 01:15:00;01.01.2025 01:30:00;;;;;;;;;;;;;;;773;2040;42;0;2;-13.24;3.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2025 01:30:00;01.01.2025 01:45:00;;;;;;;;;;;;;;;773;2040;42;0;2;-13.24;3.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2025 01:45:00;01.01.2025 02:00:00;;;;;;;;;;;;;;;773;2040;42;0;2;-13.24;3.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;
