"ISP","Area","Reserve Type","Type of Product","Direction","Offered (MW)","Activated (MW)","Unavailable (MW)"
"01/01/2024 00:00:00","SCA|NO2","mFRR","Local","Up","5708.00","0.00"," "
"01/01/2024 00:00:00","SCA|NO2","mFRR","Local","Down","1191.00","0.00"," "
"01/01/2024 01:00:00","SCA|NO2","mFRR","Local","Up","6152.00","0.00"," "
"01/01/2024 01:00:00","SCA|NO2","mFRR","Local","Down","910.00","0.00"," "
"01/01/2024 02:00:00","SCA|NO2","mFRR","Local","Up","6649.00","0.00"," "
"01/01/2024 02:00:00","SCA|NO2","mFRR","Local","Down","612.00","0.00"," "
"01/01/2024 03:00:00","SCA|NO2","mFRR","Local","Up","6649.00","0.00"," "
"01/01/2024 03:00:00","SCA|NO2","mFRR","Local","Down","611.00","0.00"," "
"01/01/2024 04:00:00","SCA|NO2","mFRR","Local","Up","6649.00","0.00"," "
"01/01/2024 04:00:00","SCA|NO2","mFRR","Local","Down","605.00","0.00"," "
"01/01/2024 05:00:00","SCA|NO2","mFRR","Local","Up","7020.00","0.00"," "
"01/01/2024 05:00:00","SCA|NO2","mFRR","Local","Down","589.00","0.00"," "
"01/01/2024 06:00:00","SCA|NO2","mFRR","Local","Up","7015.00","0.00"," "
"01/01/2024 06:00:00","SCA|NO2","mFRR","Local","Down","608.00","0.00"," "
"01/01/2024 07:00:00","SCA|NO2","mFRR","Local","Up","7010.00","0.00"," "
"01/01/2024 07:00:00","SCA|NO2","mFRR","Local","Down","619.00","0.00"," "
"01/01/2024 08:00:00","SCA|NO2","mFRR","Local","Up","6968.00","0.00"," "
"01/01/2024 08:00:00","SCA|NO2","mFRR","Local","Down","613.00","0.00"," "
"01/01/2024 09:00:00","SCA|NO2","mFRR","Local","Up","6944.00","0.00"," "
"01/01/2024 09:00:00","SCA|NO2","mFRR","Local","Down","691.00","0.00"," "
"01/01/2024 10:00:00","SCA|NO2","mFRR","Local","Up","6488.00","0.00"," "
"01/01/2024 10:00:00","SCA|NO2","mFRR","Local","Down","992.00","0.00"," "
"01/01/2024 11:00:00","SCA|NO2","mFRR","Local","Up","6091.00","0.00"," "
"01/01/2024 11:00:00","SCA|NO2","mFRR","Local","Down","1219.00","0.00"," "
"01/01/2024 12:00:00","SCA|NO2","mFRR","Local","Up","5781.00","0.00"," "
"01/01/2024 12:00:00","SCA|NO2","mFRR","Local","Down","1514.00","0.00"," "
"01/01/2024 13:00:00","SCA|NO2","mFRR","Local","Up","5416.00","0.00"," "
"01/01/2024 13:00:00","SCA|NO2","mFRR","Local","Down","1845.00","0.00"," "
"01/01/2024 14:00:00","SCA|NO2","mFRR","Local","Up","5027.75","0.00"," "
"01/01/2024 14:00:00","SCA|NO2","mFRR","Local","Down","2109.00","0.00"," "
"01/01/2024 15:00:00","SCA|NO2","mFRR","Local","Up","4717.00","15.00"," "
"01/01/2024 15:00:00","SCA|NO2","mFRR","Local","Down","2221.00","0.00"," "
"01/01/2024 16:00:00","SCA|NO2","mFRR","Local","Up","3906.25","63.00"," "
"01/01/2024 16:00:00","SCA|NO2","mFRR","Local","Down","2841.00","0.00"," "
"01/01/2024 17:00:00","SCA|NO2","mFRR","Local","Up","3186.25","4.00"," "
"01/01/2024 17:00:00","SCA|NO2","mFRR","Local","Down","3629.50","0.00"," "
"01/01/2024 18:00:00","SCA|NO2","mFRR","Local","Up","3770.50","97.50"," "
"01/01/2024 18:00:00","SCA|NO2","mFRR","Local","Down","3038.75","0.00"," "
"01/01/2024 19:00:00","SCA|NO2","mFRR","Local","Up","3957.00","9.50"," "
"01/01/2024 19:00:00","SCA|NO2","mFRR","Local","Down","2865.50","0.00"," "
"01/01/2024 20:00:00","SCA|NO2","mFRR","Local","Up","4999.75","0.00"," "
"01/01/2024 20:00:00","SCA|NO2","mFRR","Local","Down","2138.25","0.00"," "
"01/01/2024 21:00:00","SCA|NO2","mFRR","Local","Up","5557.75","0.00"," "
"01/01/2024 21:00:00","SCA|NO2","mFRR","Local","Down","1679.00","0.00"," "
"01/01/2024 22:00:00","SCA|NO2","mFRR","Local","Up","5928.00","0.00"," "
"01/01/2024 22:00:00","SCA|NO2","mFRR","Local","Down","1359.00","0.00"," "
"01/01/2024 23:00:00","SCA|NO2","mFRR","Local","Up","6562.00","0.00"," "
"01/01/2024 23:00:00","SCA|NO2","mFRR","Local","Down","898.00","0.00"," "
"02/01/2024 00:00:00","SCA|NO2","mFRR","Local","Up","6508.00","0.00"," "
"02/01/2024 00:00:00","SCA|NO2","mFRR","Local","Down","643.00","0.00"," "
"02/01/2024 01:00:00","SCA|NO2","mFRR","Local","Up","6511.00","0.00"," "
"02/01/2024 01:00:00","SCA|NO2","mFRR","Local","Down","657.00","0.00"," "
"02/01/2024 02:00:00","SCA|NO2","mFRR","Local","Up","6508.00","0.00"," "
"02/01/2024 02:00:00","SCA|NO2","mFRR","Local","Down","645.00","0.00"," "
"02/01/2024 03:00:00","SCA|NO2","mFRR","Local","Up","6508.00","0.00"," "
"02/01/2024 03:00:00","SCA|NO2","mFRR","Local","Down","642.00","0.00"," "
"02/01/2024 04:00:00","SCA|NO2","mFRR","Local","Up","6508.00","0.00"," "
"02/01/2024 04:00:00","SCA|NO2","mFRR","Local","Down","632.00","140.00"," "
"02/01/2024 05:00:00","SCA|NO2","mFRR","Local","Up","6607.00","0.00"," "
"02/01/2024 05:00:00","SCA|NO2","mFRR","Local","Down","753.00","140.00"," "
"02/01/2024 06:00:00","SCA|NO2","mFRR","Local","Up","6167.00","0.00"," "
"02/01/2024 06:00:00","SCA|NO2","mFRR","Local","Down","1024.00","0.00"," "
"02/01/2024 07:00:00","SCA|NO2","mFRR","Local","Up","4811.50","0.00"," "
"02/01/2024 07:00:00","SCA|NO2","mFRR","Local","Down","1944.00","0.00"," "
"02/01/2024 08:00:00","SCA|NO2","mFRR","Local","Up","3312.75","0.00"," "
"02/01/2024 08:00:00","SCA|NO2","mFRR","Local","Down","3128.25","0.00"," "
"02/01/2024 09:00:00","SCA|NO2","mFRR","Local","Up","2840.75","286.50"," "
"02/01/2024 09:00:00","SCA|NO2","mFRR","Local","Down","3984.00","0.00"," "
"02/01/2024 10:00:00","SCA|NO2","mFRR","Local","Up","2057.25","219.00"," "
"02/01/2024 10:00:00","SCA|NO2","mFRR","Local","Down","4641.00","0.00"," "
"02/01/2024 11:00:00","SCA|NO2","mFRR","Local","Up","1632.50","92.00"," "
"02/01/2024 11:00:00","SCA|NO2","mFRR","Local","Down","4906.00","0.00"," "
"02/01/2024 12:00:00","SCA|NO2","mFRR","Local","Up","1309.75","123.75"," "
