ISP (CET/CEST),Area,Reserve Type,Source,Type of Product,Price Type,Price Up (EUR/MWh),Price Down (EUR/MWh)
31/12/2022 23:00:00 - 01/01/2023 00:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,119.98,94.0
01/01/2023 00:00:00 - 01/01/2023 01:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,119.32,90.5
01/01/2023 01:00:00 - 01/01/2023 02:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,108.83,40.0
01/01/2023 02:00:00 - 01/01/2023 03:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,102.39,30.0
01/01/2023 03:00:00 - 01/01/2023 04:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,92.36,-2.0
01/01/2023 04:00:00 - 01/01/2023 05:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,82.66,-2.0
01/01/2023 05:00:00 - 01/01/2023 06:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,79.58,4.5
01/01/2023 06:00:00 - 01/01/2023 07:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,77.65,-2.5
01/01/2023 07:00:00 - 01/01/2023 08:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,66.27,-5.0
01/01/2023 08:00:00 - 01/01/2023 09:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,80.89,-5.0
01/01/2023 09:00:00 - 01/01/2023 10:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,93.73,-7.0
01/01/2023 10:00:00 - 01/01/2023 11:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,106.05,-7.0
01/01/2023 11:00:00 - 01/01/2023 12:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,116.28,25.0
01/01/2023 12:00:00 - 01/01/2023 13:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,120.02,42.0
01/01/2023 13:00:00 - 01/01/2023 14:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,122.17,42.0
01/01/2023 14:00:00 - 01/01/2023 15:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,120.11,42.0
01/01/2023 15:00:00 - 01/01/2023 16:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,120.71,42.0
01/01/2023 16:00:00 - 01/01/2023 17:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,132.2,121.98
01/01/2023 17:00:00 - 01/01/2023 18:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,150.0,122.16
01/01/2023 18:00:00 - 01/01/2023 19:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,150.0,121.77
01/01/2023 19:00:00 - 01/01/2023 20:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,121.01,121.01
01/01/2023 20:00:00 - 01/01/2023 21:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,120.4,120.4
01/01/2023 21:00:00 - 01/01/2023 22:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,140.0,119.6
01/01/2023 22:00:00 - 01/01/2023 23:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,142.5,116.24
01/01/2023 23:00:00 - 02/01/2023 00:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,142.5,115.45
02/01/2023 00:00:00 - 02/01/2023 01:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,150.0,119.96
02/01/2023 01:00:00 - 02/01/2023 02:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,145.0,119.19
02/01/2023 02:00:00 - 02/01/2023 03:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,130.0,118.18
02/01/2023 03:00:00 - 02/01/2023 04:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,118.11,118.11
02/01/2023 04:00:00 - 02/01/2023 05:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,119.99,119.99
02/01/2023 05:00:00 - 02/01/2023 06:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,117.74,117.74
02/01/2023 06:00:00 - 02/01/2023 07:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,121.73,121.73
02/01/2023 07:00:00 - 02/01/2023 08:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,138.19,138.19
02/01/2023 08:00:00 - 02/01/2023 09:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,145.98,145.98
02/01/2023 09:00:00 - 02/01/2023 10:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,148.95,125.0
02/01/2023 10:00:00 - 02/01/2023 11:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,149.96,115.09
02/01/2023 11:00:00 - 02/01/2023 12:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,153.5,120.0
02/01/2023 12:00:00 - 02/01/2023 13:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,175.0,148.69
02/01/2023 13:00:00 - 02/01/2023 14:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,160.0,148.06
02/01/2023 14:00:00 - 02/01/2023 15:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,152.44,122.0
02/01/2023 15:00:00 - 02/01/2023 16:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,155.34,128.0
02/01/2023 16:00:00 - 02/01/2023 17:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,162.89,162.89
02/01/2023 17:00:00 - 02/01/2023 18:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,175.01,170.0
02/01/2023 18:00:00 - 02/01/2023 19:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,189.0,174.74
02/01/2023 19:00:00 - 02/01/2023 20:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,164.46,164.46
02/01/2023 20:00:00 - 02/01/2023 21:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,153.0,153.0
02/01/2023 21:00:00 - 02/01/2023 22:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,141.94,119.0
02/01/2023 22:00:00 - 02/01/2023 23:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,137.72,118.0
02/01/2023 23:00:00 - 03/01/2023 00:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,129.7,118.0
03/01/2023 00:00:00 - 03/01/2023 01:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,134.04,134.04
03/01/2023 01:00:00 - 03/01/2023 02:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,123.97,123.97
03/01/2023 02:00:00 - 03/01/2023 03:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,122.56,122.56
03/01/2023 03:00:00 - 03/01/2023 04:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,118.8,118.8
03/01/2023 04:00:00 - 03/01/2023 05:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,117.39,117.39
03/01/2023 05:00:00 - 03/01/2023 06:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,126.35,126.35
03/01/2023 06:00:00 - 03/01/2023 07:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,152.0,136.07
03/01/2023 07:00:00 - 03/01/2023 08:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,210.0,154.96
03/01/2023 08:00:00 - 03/01/2023 09:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,210.0,163.92
03/01/2023 09:00:00 - 03/01/2023 10:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,199.0,167.07
03/01/2023 10:00:00 - 03/01/2023 11:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,197.0,168.57
03/01/2023 11:00:00 - 03/01/2023 12:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,196.0,169.49
