Date/Time CET/CEST;Date/Time UTC;MBA;Imbalance Purchase Price [EUR/MWh];Imbalance Sales Price [EUR/MWh];Up Regulation Price [EUR/MWh];Down Regulation Price [EUR/MWh];Imbalance and Spot Price Difference [EUR/MWh];Value of Avoided Activation;Incentivising Component;Main Direction of Regulation Power per MBA
01.01.2023/00:00;31.12.2022/23:00;NO1;90,5;90,5;119,32;90,5;-28,82;;;-1
01.01.2023/00:00;31.12.2022/23:00;NO2;90,5;90,5;119,32;90,5;-28,82;;;-1
01.01.2023/00:00;31.12.2022/23:00;NO3;23,35;23,35;23,35;23,35;0;;;0
01.01.2023/01:00;01.01.2023/00:00;NO1;40;40;108,83;40;-68,83;;;-1
01.01.2023/01:00;01.01.2023/00:00;NO2;40;40;108,83;40;-68,83;;;-1
01.01.2023/01:00;01.01.2023/00:00;NO3;23,28;23,28;23,28;23,28;0;;;0
01.01.2023/02:00;01.01.2023/01:00;NO1;30;30;102,39;30;-72,39;;;-1
01.01.2023/02:00;01.01.2023/01:00;NO2;30;30;102,39;30;-72,39;;;-1
01.01.2023/02:00;01.01.2023/01:00;NO3;6,5;6,5;23,37;6,5;-16,87;;;-1
01.01.2023/03:00;01.01.2023/02:00;NO1;-2;-2;92,36;-2;-94,36;;;-1
01.01.2023/03:00;01.01.2023/02:00;NO2;-2;-2;92,36;-2;-94,36;;;-1
01.01.2023/03:00;01.01.2023/02:00;NO3;6,5;6,5;23,67;6,5;-17,17;;;-1
01.01.2023/04:00;01.01.2023/03:00;NO1;-2;-2;82,66;-2;-84,66;;;-1
01.01.2023/04:00;01.01.2023/03:00;NO2;-2;-2;82,66;-2;-84,66;;;-1
01.01.2023/04:00;01.01.2023/03:00;NO3;-2;-2;24,12;-2;-26,12;;;-1
01.01.2023/05:00;01.01.2023/04:00;NO1;4,5;4,5;79,58;4,5;-75,08;;;-1
01.01.2023/05:00;01.01.2023/04:00;NO2;4,5;4,5;79,58;4,5;-75,08;;;-1
01.01.2023/05:00;01.01.2023/04:00;NO3;4,5;4,5;32,24;4,5;-27,74;;;-1
01.01.2023/06:00;01.01.2023/05:00;NO1;-2,5;-2,5;77,65;-2,5;-80,15;;;-1
01.01.2023/06:00;01.01.2023/05:00;NO2;-2,5;-2,5;77,65;-2,5;-80,15;;;-1
01.01.2023/06:00;01.01.2023/05:00;NO3;-2,5;-2,5;35,93;-2,5;-38,43;;;-1
01.01.2023/07:00;01.01.2023/06:00;NO1;-5;-5;66,27;-5;-71,27;;;-1
01.01.2023/07:00;01.01.2023/06:00;NO2;-5;-5;66,27;-5;-71,27;;;-1
01.01.2023/07:00;01.01.2023/06:00;NO3;-3,5;-3,5;42,78;-3,5;-46,28;;;-1
01.01.2023/08:00;01.01.2023/07:00;NO1;-5;-5;80,89;-5;-85,89;;;-1
01.01.2023/08:00;01.01.2023/07:00;NO2;-5;-5;80,89;-5;-85,89;;;-1
01.01.2023/08:00;01.01.2023/07:00;NO3;-3,5;-3,5;47,7;-3,5;-51,2;;;-1
01.01.2023/09:00;01.01.2023/08:00;NO1;-7;-7;93,73;-7;-100,73;;;-1
01.01.2023/09:00;01.01.2023/08:00;NO2;-7;-7;93,73;-7;-100,73;;;-1
01.01.2023/09:00;01.01.2023/08:00;NO3;-3,5;-3,5;53,38;-3,5;-56,88;;;-1
01.01.2023/10:00;01.01.2023/09:00;NO1;-7;-7;106,05;-7;-113,05;;;-1
