AREA,'ISP','Reserve Type','Type of Product','Direction','Offered','Activated','Unavailable'
NO1 SCA,'01.01.2024 00:00 - 01.01.2024 00:15 (CET/CEST)','mFRR','Local','Up','683','0',''
NO1 SCA,'01.01.2024 00:00 - 01.01.2024 00:15 (CET/CEST)','mFRR','Local','Down','0','0',''
NO1 SCA,'01.01.2024 00:15 - 01.01.2024 00:30 (CET/CEST)','mFRR','Local','Up','683','100',''
NO1 SCA,'01.01.2024 00:15 - 01.01.2024 00:30 (CET/CEST)','mFRR','Local','Down','0','0',''
NO1 SCA,'01.01.2024 00:30 - 01.01.2024 00:45 (CET/CEST)','mFRR','Local','Up','683','100',''
NO1 SCA,'01.01.2024 00:30 - 01.01.2024 00:45 (CET/CEST)','mFRR','Local','Down','0','0',''
NO1 SCA,'01.01.2024 00:45 - 01.01.2024 01:00 (CET/CEST)','mFRR','Local','Up','683','100',''
NO1 SCA,'01.01.2024 00:45 - 01.01.2024 01:00 (CET/CEST)','mFRR','Local','Down','0','0',''
NO1 SCA,'01.01.2024 01:00 - 01.01.2024 01:15 (CET/CEST)','mFRR','Local','Up','869','0',''
NO1 SCA,'01.01.2024 01:00 - 01.01.2024 01:15 (CET/CEST)','mFRR','Local','Down','0','0',''
NO1 SCA,'01.01.2024 01:15 - 01.01.2024 01:30 (CET/CEST)','mFRR','Local','Up','869','0',''
NO1 SCA,'01.01.2024 01:15 - 01.01.2024 01:30 (CET/CEST)','mFRR','Local','Down','0','0',''
NO1 SCA,'01.01.2024 01:30 - 01.01.2024 01:45 (CET/CEST)','mFRR','Local','Up','869','0',''
NO1 SCA,'01.01.2024 01:30 - 01.01.2024 01:45 (CET/CEST)','mFRR','Local','Down','0','0',''
NO1 SCA,'01.01.2024 01:45 - 01.01.2024 02:00 (CET/CEST)','mFRR','Local','Up','869','0',''
NO1 SCA,'01.01.2024 01:45 - 01.01.2024 02:00 (CET/CEST)','mFRR','Local','Down','0','0',''
NO1 SCA,'01.01.2024 02:00 - 01.01.2024 02:15 (CET/CEST)','mFRR','Local','Up','869','0',''
