Date (GMT+1);Non-Renewable;Renewable;Day Ahead Auction (DK1);Day Ahead Auction (DK2)
2025-01-01T00:00+01:00;222.89;6481.09;2.16;2.54
2025-01-01T01:00+01:00;216.24;5931.21;1.6;1.93
2025-01-01T02:00+01:00;213.16;5280.81;1.63;1.93
2025-01-01T03:00+01:00;213.11;5189.57;1.09;1.43
2025-01-01T04:00+01:00;211.72;5435.5;0.47;1.04
2025-01-01T05:00+01:00;208.92;5283.63;0;2.28
2025-01-01T06:00+01:00;214.97;5464.59;0.76;1.15
2025-01-01T07:00+01:00;222.215;5409.955;0.79;1.35
2025-01-01T08:00+01:00;221.41;5869.62;1.89;2.26
2025-01-01T09:00+01:00;220.71;5844.18;2.12;2.54
2025-01-01T10:00+01:00;220.285;5630.995;3.54;3.54
2025-01-01T11:00+01:00;218.59;5089.52;3.7;3.7
2025-01-01T12:00+01:00;217.14;4993.07;3.75;3.75
2025-01-01T13:00+01:00;241.41;5351.51;3.81;3.81
2025-01-01T14:00+01:00;252.43;5521.54;5.37;5.37
2025-01-01T15:00+01:00;266.15;5777.9;12.28;12.28
2025-01-01T16:00+01:00;345.965;5765.065;19.72;19.4
2025-01-01T17:00+01:00;385.225;5515.235;22.18;21.63
2025-01-01T18:00+01:00;349.61;5214.81;17.44;17.03
2025-01-01T19:00+01:00;266.885;4963.555;10.2;10.13
2025-01-01T20:00+01:00;265.225;4338.995;8;8
2025-01-01T21:00+01:00;258.86;3995.78;6.73;6.73
2025-01-01T22:00+01:00;253.32;3963.84;10.05;9.84
2025-01-01T23:00+01:00;255.925;4053.255;7.01;7.01
2025-01-02T00:00+01:00;259.655;3786.745;2.83;2.84
2025-01-02T01:00+01:00;260.015;3863.045;2.7;2.7
2025-01-02T02:00+01:00;259.15;4314.56;3.57;3.57
2025-01-02T03:00+01:00;262.31;4489.52;7.02;6.89
2025-01-02T04:00+01:00;326.09;3944.83;12.75;12.75
2025-01-02T05:00+01:00;394.945;3941.155;30.07;22.65
2025-01-02T06:00+01:00;509.11;4103.18;67.13;50.96
2025-01-02T07:00+01:00;793.685;3938.145;98.83;98.83
2025-01-02T08:00+01:00;835.895;3492.875;121.53;121.53
2025-01-02T09:00+01:00;838.39;3352.54;127.23;127.23
