Date (GMT+2);Nuclear;Non-Renewable;Renewable;Day Ahead Auction (FI)
2025-01-01T00:00+02:00;3872.775;690.91;5039.2;4.01
2025-01-01T01:00+02:00;4078.05;672.465;4854.925;4.85
2025-01-01T02:00+02:00;4093.45;663.385;5021.75;3.95
2025-01-01T03:00+02:00;4091.95;661.74375;4726.99875;3.8
2025-01-01T04:00+02:00;4092.2;657.77625;4441.80375;3.46
2025-01-01T05:00+02:00;4092.425;635.865;4355.7625;3.44
2025-01-01T06:00+02:00;4087.8;650.34625;4105.21125;3.88
2025-01-01T07:00+02:00;4087.625;695.1625;3969.45;20.88
2025-01-01T08:00+02:00;4086.475;720.94;3919.4075;36.55
2025-01-01T09:00+02:00;4071.975;781.73125;3969.98875;41.79
2025-01-01T10:00+02:00;4080.975;832.31375;3650.48125;52.01
2025-01-01T11:00+02:00;4081.425;811.78875;3649.87375;75
2025-01-01T12:00+02:00;4085.025;812.40375;3601.52625;79.99
2025-01-01T13:00+02:00;4097.475;879.01;3476.7975;77.02
2025-01-01T14:00+02:00;4097.425;910.9125;3537.48;80
2025-01-01T15:00+02:00;4097.425;956.50375;3752.97125;85.17
2025-01-01T16:00+02:00;4096.475;949.595;3710.825;93.19
2025-01-01T17:00+02:00;4096.8;1016.3125;3859.8625;101.72
2025-01-01T18:00+02:00;4097.025;1013.05625;3876.71625;99.89
2025-01-01T19:00+02:00;4097.15;1017.72;3749.34;101.71
2025-01-01T20:00+02:00;4094.125;976.68375;3637.71125;92.43
2025-01-01T21:00+02:00;4090.475;1010.53;3379.2775;89.99
2025-01-01T22:00+02:00;4096.225;1024.6125;3456.145;106.22
2025-01-01T23:00+02:00;4090.575;1059.895;3361.1125;106.22
2025-01-02T00:00+02:00;4106.7;968.5125;3214.4025;90.6
2025-01-02T01:00+02:00;4118.675;937.09625;3340.53875;51.32
2025-01-02T02:00+02:00;4119.9;958.79875;3201.61875;42.01
2025-01-02T03:00+02:00;4118.825;957.60125;3074.01875;40.74
2025-01-02T04:00+02:00;4119.2;996.74;3196.0425;37.03
2025-01-02T05:00+02:00;4120.325;1093.1925;3401.57;42.9
2025-01-02T06:00+02:00;4119.8;1151.3075;3745.23;74.9
2025-01-02T07:00+02:00;4113.75;1334.22;3803.995;82.76
2025-01-02T08:00+02:00;4109.1;1565.1175;4113.345;94.93
2025-01-02T09:00+02:00;4110.575;1691.32875;4180.06625;118.62
2025-01-02T10:00+02:00;4111.75;1702.31;4186.2425;125.7
2025-01-02T11:00+02:00;4111.25;1701.65875;4157.52375;123.32
2025-01-02T12:00+02:00;4110.55;1751.3675;4194.6325;110.47
2025-01-02T13:00+02:00;4119.4;1793.07625;4239.75375;101.39
2025-01-02T14:00+02:00;4119.525;1737.4375;4307.9275;106.88
2025-01-02T15:00+02:00;4124.875;1685.86625;4474.06375;113.55
2025-01-02T16:00+02:00;4127.2;1714.13125;4878.23375;129.15
2025-01-02T17:00+02:00;4125.95;1753.6825;5034.965;135.28
2025-01-02T18:00+02:00;4128.2;1590.41875;5329.19125;150.22
2025-01-02T19:00+02:00;4128.1;1421.88125;5443.70875;148.43
2025-01-02T20:00+02:00;4127.575;1377.56;5406.775;109.51
2025-01-02T21:00+02:00;4127.575;1288.815;5031.35;104.67
2025-01-02T22:00+02:00;4111.825;1222.02;4928.8275;77.65
2025-01-02T23:00+02:00;4115.725;1131.7575;4671.2;66.87
2025-01-03T00:00+02:00;4128.8;1075.5325;4445.6625;58.07
2025-01-03T01:00+02:00;4120.35;1093.76125;4099.90375;43.43
2025-01-03T02:00+02:00;4118.375;1098.7025;3955.97;50.66
