Date (GMT+1);Non-Renewable;Renewable;Day Ahead Auction (NO1);Day Ahead Auction (NO2);Day Ahead Auction (NO2NSL);Day Ahead Auction (NO3);Day Ahead Auction (NO4);Day Ahead Auction (NO5)
2025-01-01T00:00+01:00;188.285;12704.885;22.14;16.35;12.56;13.38;7.17;21.01
2025-01-01T01:00+01:00;188.71;11998.61;19.06;14.05;10.11;11.4;5.96;18.09
2025-01-01T02:00+01:00;188.465;12785.475;13.01;12.39;5.79;11.2;5.67;21.84
2025-01-01T03:00+01:00;188.55;12594.05;13.49;13.21;0.7;11.53;5.51;23.12
2025-01-01T04:00+01:00;189.26;13124.92;14.49;12.23;-3.95;12.52;5.74;25.69
2025-01-01T05:00+01:00;189.06;12888.1;4.58;6.73;-5;11.04;5.49;27.11
2025-01-01T06:00+01:00;189.315;11842.945;21.46;15.37;-5.32;12.34;5.93;20.16
2025-01-01T07:00+01:00;189.21;11641.62;22.4;16.11;-2.47;12.95;6.28;21.09
2025-01-01T08:00+01:00;186.89;12200.8;22.64;16.55;-1.39;13.52;7.02;21.34
2025-01-01T09:00+01:00;181.205;13088.535;24.64;17.95;7.95;14.69;7.71;23.2
2025-01-01T10:00+01:00;187.385;13915.825;27.95;21.06;13.41;17.11;7.78;26.43
2025-01-01T11:00+01:00;187.7;14895.25;28.01;23.54;20.07;17.04;7.55;26.65
2025-01-01T12:00+01:00;186.135;15940.565;27.12;27.12;23.18;16.16;7.74;25.99
2025-01-01T13:00+01:00;188.24;16344.08;26.86;27.2;23.99;15.96;7.94;25.76
2025-01-01T14:00+01:00;188.53;15991.84;26.65;27.11;24.21;16.75;8.41;25.7
2025-01-01T15:00+01:00;187.47;16044.41;27.29;27.02;26.43;16.08;8.36;26.53
2025-01-01T16:00+01:00;186.67;16376.77;27.74;26.8;27.91;15.01;10.99;27.13
2025-01-01T17:00+01:00;182.23;16773;28.27;26.72;28.24;10.84;11.33;27.49
2025-01-01T18:00+01:00;176.705;16530.925;27.37;26.1;27.86;9.92;8.48;26.48
2025-01-01T19:00+01:00;184.84;16303.44;27.23;26.6;26.48;9.76;8.48;26.06
2025-01-01T20:00+01:00;187.655;16149.145;27.24;26.83;26.44;9.89;8.49;25.99
2025-01-01T21:00+01:00;181.81;15854.67;27.33;27.02;25.46;9.9;7.81;26.04
2025-01-01T22:00+01:00;188.01;16286.58;27.25;26.49;25.23;8.1;7.8;26
2025-01-01T23:00+01:00;189.25;15738.08;26.22;25.76;24.26;8.29;7.23;24.95
2025-01-02T00:00+01:00;186.15;16144.33;26.54;27.11;29.99;14.85;7.63;25.35
2025-01-02T01:00+01:00;183.725;15746.735;26.24;26.8;29.3;14.39;7.47;25.06
2025-01-02T02:00+01:00;185.1;15593.96;25.84;26.15;30.11;12.61;7.2;24.63
2025-01-02T03:00+01:00;182.88;15706.31;27.66;27.38;30.97;9.24;7.06;26.24
2025-01-02T04:00+01:00;181.18;17313.36;29.64;29.36;32.46;9.33;7.29;28.07
2025-01-02T05:00+01:00;179.61;19701.39;32.96;31.98;38.62;10.51;8.01;29.43
2025-01-02T06:00+01:00;180.1;22456.1;36.54;37.82;61.77;10.84;8.36;32.57
2025-01-02T07:00+01:00;180.215;23942.095;85.02;88.61;98.47;13.59;8.26;74.23
2025-01-02T08:00+01:00;181.305;24394.495;110.88;115.95;112.23;10.89;8.48;95.45
2025-01-02T09:00+01:00;176.635;25725.825;114.58;119.84;119.46;10.67;8.49;98.56
2025-01-02T10:00+01:00;182.505;25767.465;115.49;120.84;115.58;10.33;8.71;98.39
2025-01-02T11:00+01:00;181.04;25675.87;103.55;108.27;109.89;9.73;9.01;87.73
2025-01-02T12:00+01:00;185.44;25731.77;93.22;97.4;106.71;10.47;8.48;78.8
2025-01-02T13:00+01:00;183.65;25713.17;97.49;102.1;105.07;10.66;8.42;81.96
2025-01-02T14:00+01:00;181.505;25798.455;102.37;107.83;105.75;12.9;8.48;86.14
2025-01-02T15:00+01:00;182.01;26249.91;114.82;122.3;112.64;16.3;8.4;95.59
2025-01-02T16:00+01:00;182.625;26075.625;125.52;131.09;120.49;15.31;8.48;108.2
2025-01-02T17:00+01:00;181.33;25361.88;138.87;145.14;130.55;14.88;8.44;118.84
2025-01-02T18:00+01:00;176.26;24936.41;133.26;139.16;129.52;16.06;8.43;114.58
2025-01-02T19:00+01:00;182.035;25202.845;96.63;104.1;125.99;16.29;8.33;78.93
2025-01-02T20:00+01:00;183.155;24860.705;92.29;99.49;117.72;15.95;8.31;75.38
2025-01-02T21:00+01:00;180.14;24692.77;64.33;75.53;102.71;19.99;8.11;46.18
2025-01-02T22:00+01:00;184.62;24596.01;55.8;63.71;89.14;10.48;8.3;40.76
2025-01-02T23:00+01:00;181.825;24483.225;45.28;48.29;63.67;9.64;8.44;37.37
2025-01-03T00:00+01:00;183.145;24346.555;39.15;40.63;46.35;9.56;7.44;33.86
2025-01-03T01:00+01:00;182.99;23633.37;35.48;36.76;40.62;9.9;7.7;30.93
2025-01-03T02:00+01:00;181.73;22809.66;32.83;33.97;38.77;9.96;7.95;28.7
2025-01-03T03:00+01:00;185.51;22107.87;32.18;33.34;37.74;8.95;8.52;27.63
2025-01-03T04:00+01:00;186.37;21590.12;31.52;32.64;38.18;8.83;8.89;26.36
2025-01-03T05:00+01:00;187.96;22152.19;31.97;33.13;39.4;9.1;13.06;27.12
2025-01-03T06:00+01:00;184.795;23695.895;38.1;39.49;51.64;10.54;13.21;33.26
2025-01-03T07:00+01:00;186.45;25199.24;49.19;50.9;91.99;15.07;12.79;44.16
2025-01-03T08:00+01:00;188.395;25720.995;75.39;78.38;104.19;16;13.37;66.64
2025-01-03T09:00+01:00;182.28;24891.25;69.65;72.68;103.01;10.81;15.4;58.03
2025-01-03T10:00+01:00;184.435;25426.835;70.42;73.05;87.95;18.62;15.39;62.26
2025-01-03T11:00+01:00;184.015;25483.005;56.92;58.76;76.81;20;15.39;50.93
2025-01-03T12:00+01:00;184.335;25452.715;48.06;49.2;76;25.02;15.33;45.4
2025-01-03T13:00+01:00;186.605;25128.805;46.79;47.53;74.81;31.04;13.95;45.29
2025-01-03T14:00+01:00;187.925;24996.755;47.46;48.89;77.45;26.95;13.76;44.93
2025-01-03T15:00+01:00;186.355;25235.735;64.91;66.94;93.1;24.19;13.36;59.47
2025-01-03T16:00+01:00;184.53;24671.96;95.13;99.4;107.99;10.77;13.96;80.77
2025-01-03T17:00+01:00;180.125;24918.345;97.96;102.18;114.73;14.22;12.79;85.92
2025-01-03T18:00+01:00;176.065;25134.825;99.86;104.07;120.93;16.01;12.79;87.82
2025-01-03T19:00+01:00;184.035;24681.535;93.28;97.39;106.34;12.02;10.58;79.54
2025-01-03T20:00+01:00;181.925;24528.255;69.2;70.98;93.2;32.01;8.02;65.37
2025-01-03T21:00+01:00;179.025;24466.635;69.12;86.99;82.78;17.23;7.92;41.19
2025-01-03T22:00+01:00;187.39;24730.32;56.86;66.85;70;20;7.62;41.19
2025-01-03T23:00+01:00;186.035;24819.825;57.69;70.83;55.99;17.1;7.51;37.36
2025-01-04T00:00+01:00;186.645;24729.545;45.37;48.58;47.92;10.69;7.38;37.56
2025-01-04T01:00+01:00;186.8;24411.19;41.92;43.4;41.92;12.29;7.26;37.39
2025-01-04T02:00+01:00;186.795;23929.365;38.96;39.31;40.68;14.81;7.27;36.74
2025-01-04T03:00+01:00;186.18;23740.83;38.31;38.98;39.57;14.77;7.28;35.77
2025-01-04T04:00+01:00;183.315;24003.255;38.44;38.98;40.77;12.81;7.31;35.68
2025-01-04T05:00+01:00;184.915;24024.775;38.83;38.99;41.39;14.04;7.29;36.68
2025-01-04T06:00+01:00;181.1;24193.24;47.5;55.14;44.18;18.89;7.31;36.52
2025-01-04T07:00+01:00;180.9;23852.99;72.48;95.99;55.89;10.49;7.86;36.18
2025-01-04T08:00+01:00;179.305;23979.915;86.39;118.42;85.92;9.27;8.44;37.3
