Date (GMT+1);Nuclear;Non-Renewable;Renewable;Day Ahead Auction (SE1);Day Ahead Auction (SE2);Day Ahead Auction (SE3);Day Ahead Auction (SE4)
2024-01-01T00:00+01:00;6292;799.43;10139.37;29.56;29.56;29.56;29.56
2024-01-01T01:00+01:00;6292;809.99;9873.33;28.46;28.46;28.46;28.46
2024-01-01T02:00+01:00;6293;815.1;9820.26;26.66;26.66;26.66;26.66
2024-01-01T03:00+01:00;6293;822.24;9720.71;24.48;24.48;24.48;24.48
2024-01-01T04:00+01:00;6295;821.09;9712.4;24.01;24.01;24.01;24.01
2024-01-01T05:00+01:00;6295;849.12;9621.35;21.23;21.23;21.23;21.23
2024-01-01T06:00+01:00;6295;910.65;9784.85;22.62;22.62;22.62;22.62
2024-01-01T07:00+01:00;6295;929.08;10052.78;25.04;25.04;25.04;25.04
2024-01-01T08:00+01:00;6294;972.88;10425.04;26.24;26.24;26.24;26.24
2024-01-01T09:00+01:00;6293;1023.78;10780.58;32.21;32.21;32.21;32.21
2024-01-01T10:00+01:00;6295;1061.01;11708.69;41.34;41.34;41.34;41.34
2024-01-01T11:00+01:00;6295;1046.54;12497.65;43.51;43.51;43.51;43.51
2024-01-01T12:00+01:00;6294;1081.82;12706.92;43.02;43.02;43.02;43.02
2024-01-01T13:00+01:00;6294;1073.68;13185.69;44.29;44.29;44.29;44.29
2024-01-01T14:00+01:00;6294;1096.5;13749.63;46.24;46.24;46.24;46.24
2024-01-01T15:00+01:00;6294;1114.36;14552.75;50.61;50.61;50.61;50.61
2024-01-01T16:00+01:00;6294;1112.35;14987.43;59.47;59.47;59.47;59.47
2024-01-01T17:00+01:00;6294;1119.14;15119.85;64.99;64.99;64.99;64.99
2024-01-01T18:00+01:00;6294;1111.49;15095.93;61.74;61.74;61.74;61.74
2024-01-01T19:00+01:00;6294;1121.95;14982.78;55.07;55.07;55.07;55.07
2024-01-01T20:00+01:00;6294;1093.27;14480.25;48.01;48.01;48.01;48.01
2024-01-01T21:00+01:00;6294;1040.98;13654.46;44.01;44.01;44.01;44.01
2024-01-01T22:00+01:00;6294;997.23;13457.36;45.2;45.2;45.2;45.2
2024-01-01T23:00+01:00;6294;969.68;11766.44;38;38;38;38
2024-01-02T00:00+01:00;6291;973.11;11342.45;38;38;38;38
2024-01-02T01:00+01:00;6291;977.79;10980.08;33.56;33.56;33.56;33.56
2024-01-02T02:00+01:00;6291;984.28;10931.77;32.03;32.03;32.03;32.03
2024-01-02T03:00+01:00;6290;980.45;10888.1;32.29;32.29;32.29;32.29
2024-01-02T04:00+01:00;6290;980.56;11172.01;36.7;36.7;36.7;36.7
2024-01-02T05:00+01:00;6289;1009.5;11976.56;41.72;41.72;41.72;41.72
2024-01-02T06:00+01:00;6290;1066.26;13819.34;49.18;49.18;49.18;49.18
2024-01-02T07:00+01:00;6290;1114.45;15463.88;58.75;58.75;58.75;58.75
2024-01-02T08:00+01:00;6292;1122.17;16058.18;65.67;65.67;65.67;65.67
2024-01-02T09:00+01:00;6294;1102.9;16306.49;66.11;66.11;66.11;66.11
2024-01-02T10:00+01:00;6292;1099.9;16386.86;68.98;68.98;68.98;68.98
2024-01-02T11:00+01:00;6292;1100.67;16888.15;73.54;73.54;73.54;73.54
2024-01-02T12:00+01:00;6291;1084.4;16939.09;78.16;78.16;78.16;78.16
2024-01-02T13:00+01:00;6292;1081.25;17112.66;78.87;78.87;78.87;78.87
2024-01-02T14:00+01:00;6292;1089.23;17287.38;79.24;79.24;79.24;79.24
2024-01-02T15:00+01:00;6292;1096.14;17351.81;79.96;79.96;79.96;79.96
2024-01-02T16:00+01:00;6292;1064.52;17526.35;81.46;81.46;81.46;81.46
2024-01-02T17:00+01:00;6289;1025.94;17489.55;80.92;80.92;80.92;80.92
2024-01-02T18:00+01:00;6291;1004.21;17247.55;74.95;74.95;74.95;74.95
2024-01-02T19:00+01:00;6291;1011.53;16994.01;63.18;63.18;63.18;63.18
2024-01-02T20:00+01:00;6290;1007.4;16762.64;57.11;57.11;57.11;57.11
2024-01-02T21:00+01:00;6290;976.83;15348.24;48.04;48.04;48.04;48.04
2024-01-02T22:00+01:00;6290;921.47;14151.41;40.99;40.99;40.99;40.99
2024-01-02T23:00+01:00;6292;866.94;13375.66;38.35;38.35;38.35;38.35
2024-01-03T00:00+01:00;6292;775.36;13272.76;40.8;40.8;40.8;40.8
2024-01-03T01:00+01:00;6292;767.76;13237.6;39.21;39.21;39.21;39.21
