Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2020-01-01 Kl. 00-01;0.39233;0.39233;0.35484;0.28387;0.39233
2020-01-01 Kl. 01-02;0.39170;0.39170;0.35077;0.28062;0.39170
2020-01-01 Kl. 02-03;0.38924;0.38924;0.34399;0.27519;0.38924
2020-01-01 Kl. 03-04;0.38566;0.38566;0.33930;0.27144;0.38566
2020-01-01 Kl. 04-05;0.37876;0.37876;0.33955;0.27164;0.37876
2020-01-01 Kl. 05-06;0.37321;0.37321;0.32735;0.26188;0.37321
2020-01-01 Kl. 06-07;0.37198;0.37198;0.31846;0.25477;0.37198
2020-01-01 Kl. 07-08;0.37161;0.37161;0.30910;0.24728;0.37161
2020-01-01 Kl. 08-09;0.37593;0.37593;0.31625;0.25300;0.37593
2020-01-01 Kl. 09-10;0.37715;0.37715;0.32241;0.25793;0.37715
2020-01-01 Kl. 10-11;0.37321;0.37321;0.33006;0.26405;0.37321
2020-01-01 Kl. 11-12;0.37408;0.37408;0.33783;0.27026;0.37408
2020-01-01 Kl. 12-13;0.37715;0.37715;0.34621;0.27697;0.37715
2020-01-01 Kl. 13-14;0.37456;0.37456;0.35373;0.28298;0.37456
2020-01-01 Kl. 14-15;0.37727;0.37727;0.36211;0.28969;0.37727
2020-01-01 Kl. 15-16;0.38332;0.38332;0.36951;0.29561;0.38332
2020-01-01 Kl. 16-17;0.38875;0.38875;0.37555;0.30044;0.38875
2020-01-01 Kl. 17-18;0.39183;0.39183;0.37469;0.29975;0.39183
2020-01-01 Kl. 18-19;0.39010;0.39010;0.37063;0.29650;0.39010
2020-01-01 Kl. 19-20;0.38764;0.38764;0.36224;0.28979;0.38764
2020-01-01 Kl. 20-21;0.38653;0.38653;0.34091;0.27273;0.38653
2020-01-01 Kl. 21-22;0.38308;0.38308;0.33696;0.26957;0.38308
2020-01-01 Kl. 22-23;0.38171;0.38171;0.31909;0.25527;0.38171
2020-01-01 Kl. 23-00;0.37740;0.37740;0.30589;0.24471;0.37740
2020-01-02 Kl. 00-01;0.37794;0.37794;0.14820;0.11856;0.37794
2020-01-02 Kl. 01-02;0.37621;0.37621;0.16121;0.12897;0.37621
2020-01-02 Kl. 02-03;0.37364;0.37364;0.23415;0.18732;0.37364
2020-01-02 Kl. 03-04;0.36639;0.36639;0.25933;0.20746;0.36639
2020-01-02 Kl. 04-05;0.36713;0.36713;0.29825;0.23860;0.36713
2020-01-02 Kl. 05-06;0.37376;0.37376;0.32255;0.25804;0.37376
2020-01-02 Kl. 06-07;0.38899;0.38899;0.34060;0.27248;0.38899
2020-01-02 Kl. 07-08;0.39034;0.39034;0.34859;0.27887;0.39034
2020-01-02 Kl. 08-09;0.39083;0.39083;0.36063;0.28850;0.39083
