Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2023-01-01 Kl. 00-01;1.56936;1.56936;0.30711;0.24569;1.56936
2023-01-01 Kl. 01-02;1.43140;1.43140;0.30619;0.24495;1.43140
2023-01-01 Kl. 02-03;1.34669;1.34669;0.30738;0.24590;1.34669
2023-01-01 Kl. 03-04;1.21478;1.21478;0.31133;0.24906;1.21478
2023-01-01 Kl. 04-05;1.08719;1.08719;0.31724;0.25379;1.08719
2023-01-01 Kl. 05-06;1.04669;1.04669;0.42404;0.25958;1.05984
2023-01-01 Kl. 06-07;1.02130;1.02130;0.47258;0.25821;1.02130
2023-01-01 Kl. 07-08;0.87163;0.87163;0.56266;0.25979;0.87163
2023-01-01 Kl. 08-09;1.06391;1.06391;0.62738;0.26137;1.06391
2023-01-01 Kl. 09-10;1.23279;1.23279;0.70209;0.26495;1.23279
2023-01-01 Kl. 10-11;1.39484;1.39484;0.78048;0.26800;1.39484
2023-01-01 Kl. 11-12;1.52939;1.52939;0.81099;0.26936;1.52939
2023-01-01 Kl. 12-13;1.57858;1.57858;0.85374;0.26821;1.57858
2023-01-01 Kl. 13-14;1.60685;1.60685;0.93423;0.26831;1.60685
2023-01-01 Kl. 14-15;1.57976;1.57976;0.96159;0.26989;1.57976
2023-01-01 Kl. 15-16;1.58765;1.58765;1.01446;0.26800;1.58765
2023-01-01 Kl. 16-17;1.60435;1.60435;0.99065;0.38448;1.60435
2023-01-01 Kl. 17-18;1.60673;1.60673;0.93146;0.48433;1.60673
2023-01-01 Kl. 18-19;1.60159;1.60159;0.83756;0.57061;1.60159
2023-01-01 Kl. 19-20;1.59160;1.59160;0.79403;0.56430;1.59160
2023-01-01 Kl. 20-21;1.58358;1.58358;0.67025;0.50559;1.58358
2023-01-01 Kl. 21-22;1.57305;1.57305;0.63909;0.47013;1.57305
2023-01-01 Kl. 22-23;1.52886;1.52886;0.65736;0.48359;1.52886
2023-01-01 Kl. 23-00;1.51846;1.51846;0.71038;0.36827;1.51846
2023-01-02 Kl. 00-01;1.57779;1.57779;0.94882;0.52200;1.57779
2023-01-02 Kl. 01-02;1.56766;1.56766;0.94870;0.54368;1.56766
2023-01-02 Kl. 02-03;1.55438;1.55438;0.95290;0.55620;1.55438
2023-01-02 Kl. 03-04;1.55345;1.55345;0.94382;0.46465;1.55345
2023-01-02 Kl. 04-05;1.57817;1.57817;0.95961;0.52695;1.57817
2023-01-02 Kl. 05-06;1.54859;1.54859;0.97553;0.52200;1.54859
2023-01-02 Kl. 06-07;1.60106;1.60106;1.34893;0.60281;1.60106
