Date,DK1,DK2,FI,NO1,NO2,NO2NSL,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2024-02-15,1028.5425000000002,1042.2,890.82,992.1525,1009.25,0.0,855.2750000000001,616.21,974.4000000000001,836.625,835.9699999999999,925.9100000000001,978.6599999999999
2024-02-16,842.99,544.6,497.5775,852.1200000000001,833.6500000000001,0.0,617.3275,487.83750000000003,857.1825000000001,488.735,394.375,457.9100000000001,487.4
2024-02-17,871.9075,430.0525,254.12,878.2674999999999,860.5149999999999,0.0,500.8599999999999,306.88999999999993,806.75,230.76749999999998,239.98999999999998,222.98999999999998,302.28
2024-02-18,691.0600000000001,665.185,528.55,775.26,725.6924999999999,0.0,652.62,528.73,759.26,563.75,551.0550000000001,540.7175,688.01
2024-02-19,881.6,891.275,877.21,847.8199999999999,848.5325,0.0,847.265,779.89,869.6699999999998,853.7275,821.8975,800.45,809.8149999999999
2024-02-20,838.465,818.14,906.4699999999999,794.2400000000001,823.32,0.0,732.3499999999999,671.21,827.2250000000001,719.8499999999999,649.1099999999999,751.3024999999999,814.67
2024-02-21,715.8974999999999,686.67,686.73,717.2825,719.3050000000001,0.0,611.7125,568.28,742.145,554.9074999999999,574.9525,616.2249999999999,624.03
2024-02-22,593.73,581.6875,465.76,677.26,720.8699999999999,0.0,462.42999999999995,453.61500000000007,683.9475,409.77,431.75,402.52,596.5600000000001
2024-02-23,453.64,108.7825,-12.252500000000001,703.67,704.46,0.0,272.7725,248.1175,734.92,-12.687500000000002,-105.04,-44.655,-97.65
2024-02-24,820.69,809.065,244.72,793.18,750.84,0.0,347.425,343.74249999999995,778.59,203.28,221.14999999999998,335.97749999999996,337.91999999999996
2024-02-25,804.49,862.45,483.3,821.1025000000001,816.2225,0.0,497.59000000000003,479.7,824.655,459.045,452.0849999999999,444.52000000000004,515.65
2024-02-26,934.405,950.2275,607.6400000000001,915.0525,852.55,0.0,646.0799999999999,602.19,810.7425000000001,483.37999999999994,532.9125000000001,680.435,959.78
2024-02-27,940.4049999999999,1006.285,781.89,902.5799999999999,874.475,0.0,510.41999999999996,494.885,850.8325,496.25250000000005,510.14,724.05,1007.81
2024-02-28,930.9424999999999,962.8675000000001,314.04999999999995,820.125,802.75,0.0,329.94,311.34,774.155,283.29999999999995,291.2724999999999,309.68249999999995,883.8499999999999
2024-02-29,756.7900000000001,546.675,175.3075,741.315,730.5050000000001,0.0,295.84499999999997,293.32500000000005,744.3025,155.78999999999996,135.96749999999997,157.20499999999998,161.21999999999997
2024-03-01,889.2025000000001,788.6950000000002,252.51750000000004,862.76,840.0275000000001,0.0,407.18999999999994,383.04999999999995,865.8800000000001,332.18499999999995,337.99,353.03,358.2199999999999
2024-03-02,906.03,919.62,538.5350000000001,872.6400000000001,885.8125,0.0,636.1000000000001,590.0250000000001,884.1575,612.32,632.4375000000001,610.5000000000001,634.73
2024-03-03,814.425,840.23,922.75,834.27,801.585,0.0,797.7199999999999,641.49,824.1774999999999,768.3599999999999,814.2425,823.3025,802.3499999999999
2024-03-04,1008.9100000000001,863.8325,1343.2525,923.9300000000001,938.84,0.0,733.5075,617.6324999999999,880.845,915.8775,870.2850000000001,916.0300000000001,946.7800000000001
2024-03-05,908.19,925.0975000000001,1215.0874999999999,963.72,820.7275000000001,0.0,787.8000000000001,864.94,867.1975,826.6400000000001,894.96,822.6375,882.78
2024-03-06,1080.2525,1049.9825,1110.1724999999997,1019.7674999999999,1094.4699999999998,0.0,1049.7599999999998,879.7900000000001,1016.8449999999998,1101.665,1056.105,1034.48,1101.69
2024-03-07,1109.3874999999998,1104.17,1240.69,1024.9099999999999,931.9000000000001,0.0,940.1325,882.1750000000001,975.4749999999999,957.6725,942.835,1020.24,1041.5075000000002
