Date,DK1,DK2,FI,NO1,NO2,NO2NSL,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2024-02-15,1042.2,1042.2,890.8199999999999,1001.77,1001.77,0.0,893.7299999999999,616.21,1001.77,893.7299999999999,893.7299999999999,937.6500000000001,1031.1699999999998
2024-02-16,844.3299999999999,544.6,496.86,858.78,858.78,0.0,617.12,487.28,858.78,487.28,487.28,487.28,487.4
2024-02-17,909.23,429.43,254.12,882.8000000000001,882.8000000000001,0.0,539.72,309.36,882.8000000000001,255.99,255.99,255.99,302.28
2024-02-18,753.06,699.52,537.55,777.26,777.26,0.0,652.6200000000001,552.47,777.26,570.0,570.0,570.0,693.01
2024-02-19,895.1500000000001,896.1700000000001,890.96,890.3199999999999,890.3199999999999,0.0,862.06,779.8899999999999,889.92,862.06,862.06,880.67,892.89
2024-02-20,851.01,819.5,919.4200000000001,841.74,841.74,0.0,732.35,675.21,841.74,732.35,732.35,767.2,814.6700000000001
2024-02-21,763.5799999999999,698.96,686.73,769.02,769.02,0.0,642.9000000000001,568.28,769.02,685.1000000000001,685.1000000000001,685.1000000000001,695.72
2024-02-22,625.46,602.08,485.91999999999996,733.3700000000001,733.3700000000001,0.0,464.9,463.87,739.71,443.77,443.77,443.77,596.56
2024-02-23,452.32000000000005,124.88999999999999,15.370000000000001,713.53,713.53,0.0,275.72,265.11,734.9200000000001,12.44,12.44,12.44,12.44
2024-02-24,820.69,820.69,248.97,812.8199999999999,812.8199999999999,0.0,350.64,348.89,812.8199999999999,283.38,283.38,337.91999999999996,337.91999999999996
2024-02-25,880.4300000000001,880.4300000000001,492.53,854.31,854.31,0.0,497.59000000000003,491.55000000000007,854.31,491.55000000000007,491.55000000000007,507.08000000000004,507.08000000000004
2024-02-26,969.55,969.55,642.2,915.67,915.67,0.0,646.08,609.3299999999999,915.67,609.88,609.88,765.24,959.78
2024-02-27,1020.68,1020.68,794.3899999999999,902.62,902.62,0.0,514.8299999999999,499.26,902.62,511.38999999999993,511.38999999999993,769.0699999999999,1007.81
2024-02-28,966.6400000000001,982.95,314.04999999999995,834.74,834.74,0.0,329.93999999999994,311.34000000000003,834.74,310.26,310.26,310.26,883.85
2024-02-29,768.21,547.3,177.81,776.01,776.01,0.0,297.6,297.6,776.01,161.22000000000003,161.22000000000003,161.22000000000003,161.22000000000003
2024-03-01,905.6700000000001,801.8199999999999,257.86,878.2,878.2,0.0,407.19,383.05,878.2,336.99,336.99,353.03,363.78
2024-03-02,919.62,919.62,615.8299999999999,892.0300000000001,892.0300000000001,0.0,635.0400000000001,589.53,892.0300000000001,632.03,632.03,634.73,634.73
2024-03-03,842.75,842.75,952.0,847.68,847.68,0.0,797.7199999999999,647.74,847.68,828.8499999999999,828.8499999999999,828.8499999999999,828.8499999999999
2024-03-04,1009.5799999999999,949.95,1368.9,948.1800000000001,948.1800000000001,0.0,767.3499999999999,624.8199999999999,948.1800000000001,946.78,946.78,946.78,946.78
2024-03-05,932.69,932.69,1249.47,932.69,932.69,0.0,872.1799999999998,864.94,932.69,932.69,932.69,932.69,932.69
2024-03-06,1169.28,1169.28,1193.01,1094.4699999999998,1094.4699999999998,0.0,1093.7599999999998,885.79,1094.4699999999998,1093.7599999999998,1093.7599999999998,1094.4699999999998,1108.69
2024-03-07,1100.82,1100.82,1240.6899999999998,1035.2399999999998,1035.2399999999998,0.0,969.64,898.97,1035.2399999999998,966.26,966.26,1035.2399999999998,1081.8600000000001
2024-03-08,950.72,976.3299999999999,1179.9099999999999,957.37,957.37,0.0,960.28,960.28,957.37,960.28,960.28,960.28,964.97
2024-03-09,572.0699999999999,574.3,1144.48,819.49,819.49,0.0,811.02,799.3500000000001,833.39,799.77,799.77,799.77,799.77
2024-03-10,385.39,399.9,988.26,689.53,689.53,0.0,676.85,574.73,815.76,574.73,574.73,574.73,408.01
2024-03-11,904.64,841.79,909.11,917.5899999999999,917.5899999999999,0.0,913.1499999999999,838.89,917.5899999999999,838.89,838.89,838.89,838.89
2024-03-12,1211.9,1211.9,1087.69,1090.8899999999999,1090.8899999999999,0.0,1090.8899999999999,1090.8899999999999,1090.8899999999999,1090.8899999999999,1090.8899999999999,1090.8899999999999,1193.96
2024-03-13,943.3800000000001,981.1099999999999,913.2900000000001,911.54,911.54,0.0,758.2800000000001,749.12,911.54,750.76,750.76,794.3700000000001,912.8900000000001
2024-03-14,820.7,801.06,281.43,841.6499999999999,841.6499999999999,0.0,423.47,419.5,841.6499999999999,268.84000000000003,268.84000000000003,268.84000000000003,387.12
2024-03-15,727.3199999999999,709.4300000000001,356.48,785.3699999999999,785.3699999999999,0.0,622.63,514.78,785.3699999999999,394.78999999999996,394.78999999999996,394.78999999999996,415.65
2024-03-16,619.18,479.37,499.42,719.14,719.14,0.0,659.46,514.99,747.75,479.37,479.37,479.37,479.37
2024-03-17,835.5899999999999,672.5,611.1700000000001,834.34,834.34,0.0,673.97,601.13,834.34,597.56,597.56,639.5699999999999,639.5699999999999
2024-03-18,971.03,1048.3200000000002,766.05,906.5799999999999,906.5799999999999,0.0,768.1599999999999,694.17,906.5799999999999,694.17,694.17,871.9599999999999,1030.9199999999998
2024-03-19,954.3199999999999,1066.08,804.58,890.44,890.44,0.0,759.13,745.85,890.44,745.85,745.85,815.17,1062.51
2024-03-20,1182.92,1182.92,888.28,960.76,960.76,0.0,899.04,803.0799999999999,960.76,899.04,899.04,903.8,1054.73
2024-03-21,1102.69,1112.43,1059.7599999999998,973.99,973.99,0.0,874.3399999999999,850.56,973.02,874.3399999999999,874.3399999999999,983.59,1103.3799999999999
2024-03-22,693.68,699.22,679.69,819.98,819.98,0.0,685.25,652.31,822.02,685.25,685.25,685.25,685.25
2024-03-23,332.56000000000006,374.78999999999996,465.46000000000004,512.02,512.02,0.0,560.81,529.4499999999999,808.4999999999999,456.4,456.4,456.4,456.4
2024-03-24,553.3,625.95,640.05,662.31,662.31,0.0,842.09,660.06,843.27,660.06,660.06,660.06,660.06
2024-03-25,1105.94,1105.94,1162.6599999999999,1054.72,1054.72,0.0,1104.87,1104.87,1054.72,1104.87,1104.87,1104.87,1104.87
2024-03-26,899.0200000000001,921.11,1190.67,900.7700000000001,900.7700000000001,0.0,958.8,838.74,905.7700000000001,917.7,917.7,917.7,917.7
2024-03-27,933.9100000000001,933.9100000000001,741.76,911.83,911.83,0.0,860.75,735.29,911.83,735.4,735.4,735.4,739.5799999999999
2024-03-28,685.87,643.98,561.28,787.3199999999999,787.3199999999999,0.0,663.22,546.73,834.05,543.3,543.3,543.3,543.3
2024-03-29,256.23,257.18,255.07,459.22,459.22,0.0,387.11,373.32,790.51,257.18,257.18,257.18,257.18
2024-03-30,694.64,687.3,557.54,741.47,741.47,0.0,779.9000000000001,594.19,846.0699999999999,564.15,564.15,564.15,564.15
2024-03-31,799.44,799.44,640.1335948677188,807.8493312138072,816.9370012490065,0.0,839.449222209606,620.8745145906664,844.7851459066651,622.4176654933575,622.1103803792437,636.8358544339729,650.29
2024-04-01,698.04,450.53999999999996,382.44,737.1299999999999,737.1299999999999,0.0,730.6800000000001,501.5,781.78,345.28,345.28,345.28,345.89
2024-04-02,487.15999999999997,387.73,304.52,627.29,627.29,0.0,761.7700000000001,656.6500000000001,771.6100000000001,305.85,305.85,305.85,306.58
2024-04-03,1112.74,1164.9,571.04,918.87,918.87,0.0,899.0799999999999,866.05,918.87,621.44,621.44,621.44,882.2
2024-04-04,899.6099999999999,917.2099999999999,931.4299999999998,888.24,888.24,0.0,882.0999999999999,845.11,888.24,894.4399999999999,894.4399999999999,894.4399999999999,915.55
2024-04-05,682.53,699.24,700.5799999999999,727.76,716.9100000000001,0.0,768.66,649.44,792.9000000000001,699.21,699.21,699.21,699.21
2024-04-06,398.99,649.13,685.6,658.8899999999999,617.0,0.0,703.85,646.28,724.8100000000001,649.13,649.13,649.13,649.13
2024-04-07,-28.939999999999998,-28.819999999999997,-28.749999999999996,-28.819999999999997,-28.819999999999997,0.0,471.97,416.08000000000004,648.1800000000001,-28.819999999999997,-28.819999999999997,-28.819999999999997,-28.819999999999997
2024-04-08,810.8299999999999,1018.48,439.4,773.67,773.67,0.0,627.9,418.63,773.67,484.40999999999997,484.40999999999997,484.40999999999997,593.08
2024-04-09,670.52,744.5999999999999,676.6700000000001,685.93,654.9399999999999,0.0,650.0799999999999,444.2800000000001,722.46,593.59,593.59,593.59,617.74
2024-04-10,290.93,72.53999999999999,-19.41,446.69,446.69,0.0,375.52,370.63,596.5699999999999,-23.36,-23.36,-23.36,-23.36
2024-04-11,258.19,210.20000000000002,-17.17,545.6600000000001,545.6600000000001,0.0,421.23,363.03999999999996,579.89,-10.620000000000001,17.33,17.33,17.33
2024-04-12,447.77,489.84999999999997,321.5,494.98,473.64,0.0,301.58,321.04999999999995,549.48,191.5,191.5,191.5,191.5
2024-04-13,24.220000000000002,35.44000000000001,35.45,56.77000000000001,56.77000000000001,0.0,249.01999999999998,284.36,269.23,-65.59,-65.59,-65.59,-65.57
2024-04-14,-202.54000000000002,-195.06,111.21000000000001,77.51,77.51,0.0,382.92999999999995,382.92999999999995,361.59000000000003,18.13,18.13,18.13,-207.15
2024-04-15,756.72,790.1500000000001,348.96999999999997,634.02,613.21,0.0,617.3599999999999,476.70000000000005,664.53,340.85,340.85,384.38,464.7
2024-04-16,563.45,642.36,592.44,598.8600000000001,599.97,0.0,651.05,485.61,679.9300000000001,569.2499999999999,569.2499999999999,597.6300000000001,642.36
2024-04-17,1334.21,1329.77,992.54,935.25,947.26,0.0,893.63,550.31,935.25,893.63,893.63,999.9099999999999,1302.1299999999997
2024-04-18,1335.72,1335.72,1159.96,1019.37,1022.1800000000001,0.0,914.1800000000001,522.96,1019.37,1032.43,1032.43,1160.17,1328.89
2024-04-19,856.1899999999999,864.05,804.28,852.3500000000001,852.3500000000001,0.0,746.54,534.44,852.3500000000001,789.06,789.06,789.06,864.05
2024-04-20,739.88,735.6600000000001,497.28,807.03,807.03,0.0,618.78,601.27,837.8199999999999,497.28,497.28,497.28,733.02
2024-04-21,643.02,863.63,815.0,843.71,844.0500000000001,0.0,864.74,741.91,880.46,827.54,827.54,827.54,863.63
2024-04-22,1308.3600000000001,1319.6100000000001,992.7,1059.9299999999998,1059.9299999999998,0.0,1021.6100000000001,582.37,1059.9299999999998,956.12,1051.75,1256.6,1267.85
2024-04-23,1353.3,1353.3,878.4200000000001,1108.76,1108.76,0.0,883.8700000000001,861.0999999999999,1108.76,877.1899999999999,892.94,1353.3,1353.3
2024-04-24,1312.42,1347.0700000000002,1360.03,1121.0,1121.0,0.0,1309.23,1305.23,1121.0,1325.05,1325.05,1347.0700000000002,1347.0700000000002
2024-04-25,1236.49,1237.46,1244.0800000000002,1123.47,1123.47,0.0,1211.8,1211.8,1123.47,1213.3999999999999,1213.3999999999999,1237.46,1237.46
2024-04-26,1208.8600000000001,1208.8600000000001,1226.54,1164.65,1164.65,0.0,1177.2599999999998,1177.2599999999998,1164.65,1177.2599999999998,1177.2599999999998,1194.2399999999998,1194.2399999999998
2024-04-27,865.74,865.84,921.4599999999998,904.28,904.28,0.0,917.3499999999999,917.3499999999999,928.98,917.3499999999999,917.3499999999999,918.97,803.1300000000001
2024-04-28,108.66,123.52000000000001,514.9200000000001,388.0,261.83,0.0,481.67,458.88,777.72,428.71000000000004,428.71000000000004,428.71000000000004,123.52000000000001
2024-04-29,867.27,867.27,581.66,814.0,814.0,0.0,575.99,575.99,821.51,577.0899999999999,577.0899999999999,589.6399999999999,754.55
2024-04-30,733.98,733.9300000000001,602.0300000000001,712.94,712.94,0.0,625.75,625.75,770.37,606.11,606.11,627.6300000000001,733.9300000000001
2024-05-01,166.75,167.53,451.40000000000003,217.20999999999998,217.20999999999998,0.0,359.65999999999997,359.65999999999997,459.1,205.82,205.82,205.82,167.53
2024-05-02,188.15,190.39999999999998,1146.6,251.63000000000002,251.63000000000002,0.0,383.85,383.85,361.11,257.34000000000003,257.34000000000003,257.34000000000003,190.39999999999998
2024-05-03,529.28,535.36,557.6,529.8800000000001,536.8900000000001,0.0,509.03000000000003,509.03000000000003,529.8800000000001,509.03000000000003,509.03000000000003,511.20000000000005,519.03
2024-05-04,960.67,960.67,357.15,392.41999999999996,603.62,0.0,354.31,354.31,392.41999999999996,354.31,354.31,354.51,571.28
2024-05-05,545.88,555.19,276.98,324.5,440.71000000000004,0.0,299.92,299.92,324.5,278.19,278.19,279.54999999999995,447.45
2024-05-06,1292.65,1241.9,693.72,684.4100000000001,790.3199999999999,0.0,517.86,517.86,684.4100000000001,534.94,534.94,640.54,843.01
