sim_name,sim_date,simulation_day,bidding_zone,run_id,elapsed_time,f,Ran Successfully,Reached Weightgoal,eps,DLI_avg,DLI variance,DLI_max,DLI_min,Final fresh weight,Costs,CM Earnings,AM Earnings,Total,Cost Reduction,Termination Message
Batch5_MPC_7day_2024_04_01_NO2_est_actrate1,2025-05-28 16:47:59,2024-04-01,NO2,complete_MPC,14.057109355926514,22187476.43018906,False,False,11.819516329346389,0.0,0.0,0.0,0.0,0.0,33.164579784530524,39.64324679484625,1.7402371536763834,-8.218904163992109,100.20%,"CM failed at iteration 0: Error in Opti::solve [OptiNode] at .../casadi/core/optistack.cpp:217:.../casadi/core/optistack_internal.cpp:1334: Assertion ""return_success(accept_limit)"" failed:Solver failed. You may use opti.debug.value to investigate the latest values of variables. return_status is 'NonIpopt_Exception_Thrown'"
Batch5_MPC_7day_2024_04_01_NO2_exact_actrate025,2025-05-28 16:49:00,2024-04-01,NO2,complete_MPC,131.0918412208557,75027026.14032981,True,False,0.0694222916063616,10.854330744069138,1.0568183788385928,12.79907236005105,9.20120205504382,22.24468798095521,3459.0905229538093,224.53058293984185,217.61097896991484,3016.948961044053,25.68%,
Batch5_MPC_7day_2024_04_01_SE1_exact_actrate025,2025-05-28 16:51:15,2024-04-01,SE1,complete_MPC,124.7248158454895,78247596.79432257,True,True,0.0,11.222701223098856,1.1641722825316398,12.747895959941737,9.509053929814186,22.369227720973328,3092.1716423822945,2573.26697913936,250.7373348253658,268.16732841756914,91.68%,
Batch5_MPC_7day_2024_04_01_DK1_exact_actrate025,2025-05-28 16:53:23,2024-04-01,DK1,complete_MPC,129.6694986820221,78487034.10297884,True,False,0.0365908111610941,11.33728830463104,1.5009729206918752,13.113472649956906,8.95261515294682,22.27751946140048,3496.3407486301926,5.639445238818445,401.7739014478223,3088.927401943552,23.81%,
Batch5_MPC_7day_2024_04_01_FI_exact_actrate025,2025-05-28 16:55:36,2024-04-01,FI,complete_MPC,113.37802124023438,76881025.14233987,True,False,0.258348402530224,11.11559319303797,0.8186733767492644,12.558355897779464,9.848289567658846,22.055761870031347,2764.578428759839,0.0,217.9710475656696,2546.607381194169,29.03%,
Batch5_MPC_7day_2024_04_08_NO2_exact_actrate025,2025-05-28 16:57:33,2024-04-08,NO2,complete_MPC,128.91238236427307,77911157.2653215,True,False,0.0308155123617339,11.237066085212426,0.7068753026415643,12.910406706528434,10.289177445512806,22.28329476019984,2370.202484507181,202.1942787531392,140.3387205612066,2027.669485192835,24.53%,
Batch5_MPC_7day_2024_04_08_SE1_exact_actrate025,2025-05-28 16:59:45,2024-04-08,SE1,complete_MPC,135.63120102882385,77886020.95931694,True,False,0.1047395001832143,11.095975219586268,0.8552128622083998,13.18129528791886,9.850164210290114,22.20937077237836,1088.3851450517543,1281.1287686726755,195.44080380447545,-388.1844274253966,127.92%,
Batch5_MPC_7day_2024_04_08_DK1_exact_actrate025,2025-05-28 17:02:05,2024-04-08,DK1,complete_MPC,188.23811221122745,22187523.226908807,False,False,11.819516329346389,0.0,0.0,0.0,0.0,0.0,29.01338059944843,1.7645335231752697,3.908476648071314,23.340370428201844,99.00%,"CM failed at iteration 0: Error in Opti::solve [OptiNode] at .../casadi/core/optistack.cpp:217:.../casadi/core/optistack_internal.cpp:1334: Assertion ""return_success(accept_limit)"" failed:Solver failed. You may use opti.debug.value to investigate the latest values of variables. return_status is 'Maximum_Iterations_Exceeded'"
Batch5_MPC_7day_2024_04_08_FI_exact_actrate025,2025-05-28 17:05:16,2024-04-08,FI,complete_MPC,239.9813106060028,79889767.52611382,True,False,0.006109966356103,11.472716987253037,0.9329974201873878,13.374840608904158,9.884836214607404,22.308000306205468,1154.0262899003374,0.0,105.07487581579969,1048.9514140845376,38.97%,
Batch5_MPC_7day_2024_04_15_NO2_exact_actrate025,2025-05-28 17:09:20,2024-04-15,NO2,complete_MPC,123.4015724658966,78892765.17420946,True,True,0.0,11.22010452498198,0.5318306202512469,12.253567603995409,10.209687589826116,22.3844619404147,4563.703073412932,149.62445550044507,365.5790047770939,4048.499613135393,17.26%,
