sim_name,sim_date,simulation_day,bidding_zone,run_id,elapsed_time,f,Ran Successfully,Reached Weightgoal,eps,DLI_avg,DLI variance,DLI_max,DLI_min,Final fresh weight,Costs,CM Earnings,AM Earnings,Total,Cost Reduction,Termination Message
Batch2_MPC_7day_2024_04_01_NO2_est,2025-05-25 13:23:31,2024-04-01,NO2,complete_MPC,98.1319534778595,11349993.106539844,True,False,11.3481536672518,5.786828657773294,14.69537863003592,12.70256804060047,0.7647397604596193,10.965956605309772,2040.0603916509288,100.9168737225542,91.96705174233776,1847.1764661860373,54.50%,
Batch2_MPC_7day_2024_04_01_SE1_est,2025-05-25 13:25:13,2024-04-01,SE1,complete_MPC,26.25135469436645,22314454.72792013,False,False,22.31411027256157,-0.6716818474042046,30.37200068753253,12.736867634808808,-12.736867634808808,0.0,418.5856074949673,61.04065186846445,5.405597724030576,352.1393579024722,89.07%,
Batch2_MPC_7day_2024_04_01_DK1_est,2025-05-25 13:25:43,2024-04-01,DK1,complete_MPC,18.893441200256348,22314794.733237777,False,False,22.31411027256157,-0.6646747516097521,30.006097409847182,12.672009161165516,-12.672009161165516,0.0,711.6994618589594,1.0832728451378242,1.984358884170328,708.6318301296512,82.52%,
Batch2_MPC_7day_2024_04_01_FI_est,2025-05-25 13:26:06,2024-04-01,FI,complete_MPC,47.1631088256836,22314720.116014447,False,False,22.31411027256157,-0.6675157030789598,125.357033084608,12.704262370277588,-24.809438176786475,0.0,674.4488143916468,0.0,18.597279933719022,655.8515344579278,81.72%,
Batch2_MPC_7day_2024_04_08_NO2_est,2025-05-25 13:26:56,2024-04-08,NO2,complete_MPC,17.424167156219482,22314718.09250995,False,False,22.31411027256157,-0.6794371117798458,26.21188393549356,11.59179589405095,-11.59179589405095,0.0,670.4751550613779,30.46536521580177,40.92503832864336,599.0847515169328,77.70%,
Batch2_MPC_7day_2024_04_08_SE1_est,2025-05-25 13:27:18,2024-04-08,SE1,complete_MPC,18.042532682418823,22314439.87944197,False,False,22.31411027256157,-0.6695507769518547,24.252054899942344,11.0756983482809,-11.0756983482809,0.0,394.8427953790175,69.98301852303068,13.301349321027356,311.55842753495943,77.59%,
Batch2_MPC_7day_2024_04_08_DK1_est,2025-05-25 13:27:39,2024-04-08,DK1,complete_MPC,18.02154564857483,22314759.598269705,False,False,22.31411027256157,-0.668850327670859,24.431095847718936,11.131396303509758,-11.131396303509758,0.0,689.0642641992617,1.2565380477315131,26.737799970962115,661.0699261805681,71.64%,
Batch2_MPC_7day_2024_04_08_FI_est,2025-05-25 13:28:02,2024-04-08,FI,complete_MPC,18.808888912200928,22314474.092888787,False,False,22.31411027256157,-0.6663689885439579,25.719853486166908,11.512746527498264,-11.512746527498264,0.0,380.02005884152334,0.0,6.232406663797859,373.7876521777255,78.25%,
Batch2_MPC_7day_2024_04_15_NO2_est,2025-05-25 13:28:25,2024-04-15,NO2,complete_MPC,20.50602078437805,22314656.436377287,False,False,22.31411027256157,-0.6373344922674425,28.12464618904592,12.293370991561352,-12.293370991561352,0.0,577.3484792134853,13.868677009175284,32.99677800954126,530.4830241947689,89.16%,
Batch2_MPC_7day_2024_04_15_SE1_est,2025-05-25 13:28:49,2024-04-15,SE1,complete_MPC,13.905368566513062,22314111.307858463,False,False,22.31411027256157,0.0,0.0,0.0,0.0,0.0,27.475145470690823,100.69715449482548,0.0,-73.22200902413465,101.64%,
Batch2_MPC_7day_2024_04_15_DK1_est,2025-05-25 13:29:07,2024-04-15,DK1,complete_MPC,19.920111417770386,22314522.159625795,False,False,22.31411027256157,0.0,0.0,0.0,0.0,0.0,439.8332167492856,0.6524766869336152,62.45891664793349,376.7218234144185,93.59%,
Batch2_MPC_7day_2024_04_15_FI_est,2025-05-25 13:29:31,2024-04-15,FI,complete_MPC,22.012081384658813,22314474.9537088,False,False,22.31411027256157,-0.6654396715859513,31.782598184381698,13.11669590978949,-13.11669590978949,0.0,384.2783141643487,0.0,26.179389016557263,358.0989251477915,92.85%,
Batch2_MPC_7day_2024_04_22_NO2_est,2025-05-25 13:29:56,2024-04-22,NO2,complete_MPC,28.416258335113525,22315810.865317263,False,False,22.31411027256157,-0.6572224942501947,98.94156646278816,12.26593645851217,-23.252274244718084,0.0,1825.6622054008053,41.32532910611111,87.15474536269531,1697.1821309319987,71.54%,
Batch2_MPC_7day_2024_04_22_SE1_est,2025-05-25 13:30:28,2024-04-22,SE1,complete_MPC,17.175522565841675,22315067.017209448,False,False,22.31411027256157,-0.6692082230241106,30.651150787521907,12.817994685182684,-12.817994685182684,0.0,1043.8572128195513,81.68579614627946,5.032878711576773,957.138537961695,84.54%,
Batch2_MPC_7day_2024_04_22_DK1_est,2025-05-25 13:30:49,2024-04-22,DK1,complete_MPC,17.552300453186035,22315235.598866902,False,False,22.31411027256157,-0.6624863902433762,25.80823413011316,11.555095884484688,-11.555095884484688,0.0,1181.9267602238378,1.060566721133544,52.63253843945539,1128.233655063249,83.03%,
Batch2_MPC_7day_2024_04_22_FI_est,2025-05-25 13:31:10,2024-04-22,FI,complete_MPC,17.336586236953735,22315150.00583636,False,False,22.31411027256157,-0.6646439028478339,30.565639826983865,12.814836733378876,-12.814836733378876,0.0,1062.3114627952332,0.0,0.1633458888639459,1062.1481169063693,84.09%,
Batch2_MPC_7day_2024_04_29_NO2_est,2025-05-25 13:31:31,2024-04-29,NO2,complete_MPC,17.593907117843628,22314623.88126501,False,False,22.31411027256157,-0.6658240007110376,25.110419839976466,11.341897732119811,-11.341897732119811,0.0,745.1325772734558,475.2818837310242,40.655319991398216,229.19537355103336,92.86%,
Batch2_MPC_7day_2024_04_29_SE1_est,2025-05-25 13:31:53,2024-04-29,SE1,complete_MPC,17.343672513961792,22314574.98596784,False,False,22.31411027256157,-0.6110547212262071,27.57550663358345,12.252205478048884,-12.252205478048884,0.0,556.457723884476,98.16121786957628,88.04500267234476,370.2515033425549,85.42%,
Batch2_MPC_7day_2024_04_29_DK1_est,2025-05-25 13:32:14,2024-04-29,DK1,complete_MPC,17.656298637390137,22314855.280323897,False,False,22.31411027256157,-0.6668789018897432,26.63654340181006,11.766426367784025,-11.766426367784025,0.0,801.3723352279776,0.3349397952282304,21.49956569688256,779.5378297358668,79.58%,
Batch2_MPC_7day_2024_04_29_FI_est,2025-05-25 13:32:35,2024-04-29,FI,complete_MPC,17.126708030700684,22314717.65957196,False,False,22.31411027256157,-0.6487392453179316,28.95351262325225,12.464772304166516,-12.464772304166516,0.0,630.4062542774848,0.0,22.22308160136356,608.1831726761212,86.82%,
Batch2_MPC_7day_2024_05_06_NO2_est,2025-05-25 13:32:56,2024-05-06,NO2,complete_MPC,105.51431441307068,22315951.16637772,False,False,22.31411027256157,2.285708715092672,135.15250687706362,12.679685988874558,-35.80263813318619,0.0,2102.3306996546103,130.00968322359088,80.67327028457224,1891.6477461464472,55.38%,
Batch2_MPC_7day_2024_05_06_SE1_est,2025-05-25 13:34:45,2024-05-06,SE1,complete_MPC,280.61074328422546,9070313.5603375,True,False,9.069240571087027,7.1883939648526,9.733108684347012,12.262715734048715,1.5903464055538343,13.244869701474544,1245.89644218302,216.54586461872097,64.45175288547985,964.8988246788192,51.10%,
Batch2_MPC_7day_2024_05_06_DK1_est,2025-05-25 13:39:30,2024-05-06,DK1,complete_MPC,19.19741153717041,22315197.805822942,False,False,22.31411027256157,-0.6583081271873183,24.50463044618808,11.20166370925294,-11.20166370925294,0.0,1127.381107642046,1.5960669277280883,50.87922646458432,1074.9058142497336,79.80%,
Batch2_MPC_7day_2024_05_06_FI_est,2025-05-25 13:39:53,2024-05-06,FI,complete_MPC,54.37886452674866,22315341.532259047,False,False,22.31411027256157,-0.6676170694825967,132.84330617771025,12.62661486939211,-25.42596228353083,0.0,1293.1785277666245,0.0,37.90165643864398,1255.2768713279804,67.37%,
Batch2_MPC_7day_2024_05_13_NO2_est,2025-05-25 13:40:51,2024-05-13,NO2,complete_MPC,19.77480792999268,22314387.879569493,False,False,22.31411027256157,-0.677593401557499,30.21414045252197,12.671998782761952,-12.671998782761952,0.0,309.4461974617624,7.422213897220232,5.0826774330309705,296.9413061315112,84.37%,
Batch2_MPC_7day_2024_05_13_SE1_est,2025-05-25 13:41:15,2024-05-13,SE1,complete_MPC,18.745063543319706,22314351.780692045,False,False,22.31411027256157,-0.6730292691014168,27.816048196216247,12.061209653437128,-12.061209653437128,0.0,279.16864586015384,6.6038288081596095,0.0017316202699633,272.5630854317243,61.55%,
Batch2_MPC_7day_2024_05_13_DK1_est,2025-05-25 13:41:38,2024-05-13,DK1,complete_MPC,19.703591108322144,22314381.84911584,False,False,22.31411027256157,-0.6647277002604338,29.231264681312343,12.471483994298165,-12.471483994298165,0.0,284.98026854152613,0.3297925338248981,6.075514413521206,278.57496159418,87.62%,
Batch2_MPC_7day_2024_05_13_FI_est,2025-05-25 13:42:01,2024-05-13,FI,complete_MPC,18.515782356262207,22314929.281437326,False,False,22.31411027256157,-0.6651397675362727,16.81192238447654,8.646932663734429,-8.646932663734429,0.0,859.6820238272892,0.0,44.883614701887005,814.7984091254021,67.54%,
Batch2_MPC_7day_2024_05_20_NO2_est,2025-05-25 13:42:24,2024-05-20,NO2,complete_MPC,60.04644727706909,22315240.097829312,False,False,22.31411027256157,-0.670752630001796,141.6908315266922,12.671997622496422,-28.93916259257029,0.0,1228.7116380016569,117.05721588736228,37.05626516345888,1074.5981569508358,70.40%,
Batch2_MPC_7day_2024_04_01_NO2_est,2025-05-25 13:51:05,2024-04-01,NO2,complete_MPC,38.60989594459534,22315247.250259064,False,False,22.31411027256157,-0.6812560682137843,113.61516687602854,12.702150215915337,-23.75883363068813,0.0,1224.7440137734518,31.47879055900335,60.22933652518674,1133.0358866892618,72.09%,"CM failed: Error in Opti::solve [OptiNode] at .../casadi/core/optistack.cpp:217:
.../casadi/core/optistack_internal.cpp:1334: Assertion ""return_success(accept_limit)"" failed:
Solver failed. You may use opti.debug.value to investigate the latest values of variables. return_status is 'Error_In_Step_Computation'"
